company,company_loc,ref,bean_origin,broad_bean_origin,bean_typ,review_dt,cocoa_pcnt,rating
AMorin,France,1876,AguaGrande,SaoTome,Unknown,2016,0.63,3.75
AMorin,France,1676,Kpime,Togo,Unknown,2015,0.7,2.75
AMorin,France,1676,Atsane,Togo,Unknown,2015,0.7,3
AMorin,France,1680,Akata,Togo,Unknown,2015,0.7,3.5
AMorin,France,1704,Quilla,Peru,Unknown,2015,0.7,3.5
AMorin,France,1315,Carenero,Venezuela,Criollo,2014,0.7,2.75
AMorin,France,1315,Cuba,Cuba,Unknown,2014,0.7,3.5
AMorin,France,1315,SurdelLago,Venezuela,Criollo,2014,0.7,3.5
AMorin,France,1319,PuertoCabello,Venezuela,Criollo,2014,0.7,3.75
AMorin,France,1319,Pablino,Peru,Unknown,2014,0.7,4
AMorin,France,1011,Panama,Panama,Unknown,2013,0.7,2.75
AMorin,France,1011,Madagascar,Madagascar,Criollo,2013,0.7,3
AMorin,France,1011,Brazil,Brazil,Unknown,2013,0.7,3.25
AMorin,France,1011,Equateur,Ecuador,Unknown,2013,0.7,3.75
AMorin,France,1015,Colombie,Colombia,Unknown,2013,0.7,2.75
AMorin,France,1015,Birmanie,Burma,Unknown,2013,0.7,3
AMorin,France,1015,PapuaNewGuinea,PapuaNewGuinea,Unknown,2013,0.7,3.25
AMorin,France,1015,Chuao,Venezuela,Trinitario,2013,0.7,4
AMorin,France,1019,Piura,Peru,Unknown,2013,0.7,3.25
AMorin,France,1019,ChanchamayoProvince,Peru,Unknown,2013,0.7,3.5
AMorin,France,1019,ChanchamayoProvince,Peru,Unknown,2013,0.63,4
AMorin,France,797,Bolivia,Bolivia,Unknown,2012,0.7,3.5
AMorin,France,797,Peru,Peru,Unknown,2012,0.63,3.75
Acalli,USA,1462,ChulucanasElPlatanal,Peru,Unknown,2015,0.7,3.75
Acalli,USA,1470,TumbesNorandino,Peru,Criollo,2015,0.7,3.75
Adi,Fiji,705,VanuaLevu,Fiji,Trinitario,2011,0.6,2.75
Adi,Fiji,705,VanuaLevuTotoA,Fiji,Trinitario,2011,0.8,3.25
Adi,Fiji,705,VanuaLevu,Fiji,Trinitario,2011,0.88,3.5
Adi,Fiji,705,VanuaLevuAmiAmiCA,Fiji,Trinitario,2011,0.72,3.5
AequareGianduja,Ecuador,370,LosRiosQuevedoArriba,Ecuador,ForasteroArriba,2009,0.55,2.75
AequareGianduja,Ecuador,370,LosRiosQuevedoArriba,Ecuador,ForasteroArriba,2009,0.7,3
AhCacao,Mexico,316,Tabasco,Mexico,Criollo,2009,0.7,3
AkessonsPralus,Switzerland,636,BaliwestSukramaFamilyMelayaarea,Indonesia,Trinitario,2011,0.75,3.75
AkessonsPralus,Switzerland,502,MadagascarAmbolikapikyP,Madagascar,Criollo,2010,0.75,2.75
